x1,x2,x3,x4,x5,x6,x7,class
0.380310139615577,0.6860237265267046,0.7347989462008343,0.852383183817824,0.5884472949478295,0.4321626211478694,0.5299922938326335,zv
0.720592039326433,0.6593404532294763,0.7839416490109923,0.8287456724493037,0.11643691201509676,0.1228960433724142,0.7152656998136592,oq
0.7490845779757263,0.8069262556728829,0.923504894277693,0.8064720553550248,0.4771019539807107,0.5322251366814348,0.58566822968973,hy
0.8281334202625974,0.6043003110175981,0.9688469766789587,0.9593497805115341,0.2010515935494293,0.6587574669832795,0.5007517466282413,zo
0.10798481301885016,0.30002071734035646,0.6314501439622707,0.8242358876092382,0.1916697359699329,0.6529783155322065,0.37394653870439476,uu
0.01741216791036781,0.7019219361323313,0.8259230683746758,0.5304451626206281,0.5679318640775882,0.30413751890747875,0.6416356560721562,qu
0.6787033393284951,0.2307377653795224,0.4864426826000819,0.778856815121708,0.20969060027098252,0.8410315678563196,0.4019807387806435,qb
0.27104244722139387,0.7925749533500006,0.5770165261579023,0.9094765227356003,0.2877027057094567,0.08405482652205204,0.8560346308827728,vn
0.4074936690285512,0.2588714948551782,0.853199147480277,0.9327660000144685,0.8228999866086634,0.2331651943351194,0.94117389028288,zg
0.7990854276965663,0.8047294098579586,0.8152356812063335,0.5604546542251672,0.5780955880305466,0.6841129808357084,0.34686174656588153,qi
0.8560488540633994,0.7747383098236895,0.7040882899946618,0.9096973705915881,0.1078015364728162,0.502260172873597,0.7542033186727674,vg
0.32270153480014774,0.5466296442284247,0.8044312185937788,0.7023735492408663,0.30838218250094973,0.5800809153436355,0.5430644275987822,fi
0.8291190273091872,0.5616037595797968,0.9646509178445297,0.7827348079629352,0.07301632106919324,0.9289637800531616,0.5447989300924372,ji
0.07549958077876062,0.5308720949377249,0.9627262130293393,0.5317833784177107,0.39344849860186787,0.627685344949693,0.9106760539792237,ss
0.8005898668570391,0.9729339009016511,0.8398343626109095,0.8523360374214938,0.06655461175746621,0.8782240364965976,0.08432292712847922,ft
0.3977717726785849,0.9765658627921223,0.6478767505814688,0.9229607558895476,0.20627347844723845,0.28988688199914964,0.06817220670538893,yf
0.7701190890066343,0.6418206640204469,0.6343703003150928,0.9073578109625821,0.3861264975627338,0.9503840700248769,0.008700125141206482,hr
0.38625977546961904,0.8105027965474504,0.5647622770120286,0.5087606145288884,0.6139761121963782,0.948581933235892,0.802862129223702,up
0.24983934114785336,0.9028474552331381,0.586553851367673,0.648983245869401,0.7232252226351058,0.12575274658851548,0.7457529620676052,fo
